treatment,chick,breading_group,hatch_date,grams_day0,grams_day10,grams_day25,pct_gain_10-25,gender,color
Treatment: Voluntary Walk-On,1667357,non,5/29,362.88,426.38,916.27,114.89,f,b
Treatment: Voluntary Walk-On,1670335,non,5/30,408.24,444.53,1106.78,148.98,m,b
Treatment: Voluntary Walk-On,1680454,non,5/30,399.17,453.60,1161.22,156.00,f,b
Treatment: Voluntary Walk-On,1660777,non,5/30,449.06,453.60,1215.65,168.00,m,b
Treatment: Voluntary Walk-On,1680457,non,5/31,430.92,426.38,1115.86,161.70,m,b
Treatment: Voluntary Walk-On,1667737,non,6/2,435.46,435.46,952.56,118.75,m,w
Treatment: Voluntary Walk-On,1667048,non,6/8,426.38,399.17,1006.99,152.27,f,b
Treatment: Voluntary Walk-On,1680841,non,6/9,385.56,426.38,898.13,110.64,m,b
Treatment: Voluntary Walk-On,1667366,non,6/9,444.53,444.53,1043.28,134.69,f,b
Treatment: Voluntary Walk-On,1677740,non,6/10,362.88,408.24,1288.22,215.56,m,b
Treatment: Voluntary Walk-On,1667172,non,6/10,403.70,408.24,916.27,124.44,f,b
Treatment: Voluntary Walk-On,1667128,breeder,5/28,421.85,408.24,1129.46,176.67,f,w
Treatment: Voluntary Walk-On,1671357,breeder,5/29,367.42,426.38,644.11,51.06,m,b
Treatment: Voluntary Walk-On,1671306,breeder,5/29,399.17,453.60,807.41,78.00,m,b
Treatment: Voluntary Walk-On,1677203,breeder,5/30,317.52,526.18,1333.58,153.45,f,b
Treatment: Voluntary Walk-On,1667977,breeder,5/30,403.70,376.49,657.72,74.70,NA,w
Treatment: Voluntary Walk-On,167633,breeder,5/30,408.24,471.74,616.90,30.77,m,b
Treatment: Voluntary Walk-On,1667119,breeder,5/31,367.42,381.02,680.40,78.57,NA,w
Control: Involuntary Bucket,1677933,non,5/30,381.02,498.96,1578.53,216.36,m,b
Control: Involuntary Bucket,1667900,non,5/30,385.56,426.38,834.62,95.74,m,b
Control: Involuntary Bucket,1657657,non,5/30,376.49,453.60,970.70,114.00,f,b
Control: Involuntary Bucket,1671367,non,5/31,399.17,435.46,680.40,56.25,m,b
Control: Involuntary Bucket,1667608,non,5/31,430.92,453.60,789.26,74.00,m,w
Control: Involuntary Bucket,1671002,non,6/9,426.38,426.38,1478.74,246.81,m,b
Control: Involuntary Bucket,1667314,non,6/9,381.02,426.38,1242.86,191.49,m,b
Control: Involuntary Bucket,1667167,non,6/9,476.28,408.24,1206.58,195.56,f,w
Control: Involuntary Bucket,1667144,non,6/9,399.17,308.45,988.85,220.59,f,b
Control: Involuntary Bucket,1671150,non,6/10,385.56,381.02,1487.81,290.48,f,b
Control: Involuntary Bucket,1667815,breeder,5/28,390.10,489.89,1705.54,248.15,m,b
Control: Involuntary Bucket,1670961,breeder,5/29,344.74,390.10,807.41,106.98,m,b
Control: Involuntary Bucket,1660140,breeder,5/29,412.78,453.60,1152.14,154.00,f,b
Control: Involuntary Bucket,1670535,breeder,5/29,449.06,444.53,517.10,16.33,f,w
Control: Involuntary Bucket,1671431,breeder,5/30,426.38,390.10,907.20,132.56,f,w
Control: Involuntary Bucket,1667934,breeder,5/30,444.53,535.25,1351.73,152.54,m,b
Control: Involuntary Bucket,1671417,breeder,5/31,412.78,489.89,997.92,103.70,f,b